name,en_US,ja_JP,ko_KR,zh_CN
ConfirmUpdatePanel.updateNow,Update now:,,,现在更新：
UpdateCompletePanel.label,Installation Report,インストールレポート,설치 보고,安装报告
UpdateCompletePanel.desc,The update is now complete,,,更新现已完成
UpdateCompletePanel.success1,CATS was successfully updated.,,,CATS 已成功更新。
UpdateCompletePanel.success2,Restart Blender to complete the update.,,,重新启动 Blender 以完成更新。
UpdateCompletePanel.failure1,Update failed.,,,更新失败。
UpdateCompletePanel.failure2,See Updater Panel for more info.,,,有关详细信息，请参阅更新程序面板。
UpdateNotificationPopup.label,Update available,アップデートが利用可能です,업데이트 가능,可用更新
UpdateNotificationPopup.desc,This shows you that an update is available,,,这表明您有可用的更新
UpdateNotificationPopup.newUpdate,CATS v{name} available!,,,CATS v{name} 可用！
UpdateNotificationPopup.ShowPatchnotesPanel.label,Show Patchnotes,パッチノートを見る,패치노트 보기,显示补丁说明
check_for_update.cantCheck,"Could not check for updates, try again later",,,无法检查更新，请稍后再试
download_file.cantConnect,Could not connect to Github,,,无法连接到 Github
download_file.cantFindZip,Could not find the downloaded zip,,,找不到下载的 zip
download_file.cantFindCATS,Could not find CATS in the downloaded zip,,,在下载的 zip 中找不到 CATS
draw_update_notification_panel.success,Restart Blender to complete update!,,,重新启动 Blender 以完成更新！
draw_update_notification_panel.newUpdate,CATS v{name} available!,,,CATS v{name} 可用！
draw_update_notification_panel.UpdateToLatestButton.label,Update Now,今すぐアップデート,지금 업데이트,现在更新
draw_update_notification_panel.RemindMeLaterButton.label,Remind me later,後で通知する,나중에 다시보기,稍后提醒我
draw_update_notification_panel.IgnoreThisVersionButton.label,Ignore this version,このバージョンを無視,이 버전은 무시하기,忽略这个版本
draw_updater_panel.updateLabel,Updates:,,,更新：
draw_updater_panel.updateLabel_alt,CATS Updater:,,,CATS 更新程序：
draw_updater_panel.success,Restart Blender to complete update!,,,重新启动 Blender 以完成更新！
draw_updater_panel.CheckForUpdateButton.label,Checking..,チェック中..,확인 중..,检查..
draw_updater_panel.UpdateToLatestButton.label,Update now to {name},今すぐ{name}に更新する,{name}로 업데이트,立即更新为 {name}
draw_updater_panel.CheckForUpdateButton.label_alt,Check now for Update,今すぐアップデートを確認,업데이트 확인하기,立即检查更新
draw_updater_panel.UpdateToLatestButton.label_alt,Up to Date!,最新の!,현재 최신 버전입니다!,最新！
draw_updater_panel.UpdateToSelectedButton.label,Install version:,インストールバージョン:,설치버전:,安装版本：
draw_updater_panel.UpdateToDevButton.label,Install Development Version,開発バージョンのインストール,개발버전 설치,安装开发版本
draw_updater_panel.currentVersion,Current version: {name},,현재 버전: {name},当前版本：{name}
bpy.types.Scene.cats_updater_version_list.label,Version,バージョン,버전,版本
bpy.types.Scene.cats_updater_version_list.desc,"Select the version you want to install
",,,选择你要安装的版本
bpy.types.Scene.cats_update_action.label,Choose action,アクションを選択,액션 선택,选择行动
bpy.types.Scene.cats_update_action.desc,Action,,,行动
bpy.types.Scene.cats_update_action.update.label,Update Now,今すぐアップデート,지금 업데이트,现在更新
bpy.types.Scene.cats_update_action.update.desc,Updates now to the latest version,,,现在更新到最新版本
bpy.types.Scene.cats_update_action.ignore.label,Ignore this version,このバージョンを無視,이 버전은 무시하기,忽略这个版本
bpy.types.Scene.cats_update_action.ignore.desc,This ignores this version. You will be reminded again when the next version releases,,,这忽略了这个版本。 下一个版本发布时会再次提醒您
bpy.types.Scene.cats_update_action.defer.label,Remind me later,後で通知する,나중에 다시보기,稍后提醒我
bpy.types.Scene.cats_update_action.defer.desc,Hides the update notification til the next Blender restart,,,隐藏更新通知，直到下次 Blender 重新启动
apply_current_shapekey_mix,Apply current shapekey mix,,,应用当前 shapekey 组合
bake_device,Bake Device,,,烘烤装置
bake_projected_light,Bake projected light,,,烘焙投射光
bake_the_effect_of_emission_on_nearby_surfaces_results_in_much_more_realistic_lighting_effects_but_can_animate_less_well,"Bake the effect of emission on nearby surfaces. Results in much more realistic lighting effects, but can animate less well.",,,在附近的表面上烘焙发射效果。 产生更逼真的照明效果，但动画效果较差。
bake_to_vertex_colors,Bake to vertex colors,,,烘焙到顶点颜色
bakes_the_effect_of_any_eye_glow_onto_surrounding_objects_but_not_viceversa_improves_animation_when_eyes_are_moving_around,"Bakes the effect of any eye glow onto surrounding objects, but not vice-versa. Improves animation when eyes are moving around..",,,将任何眼睛发光的效果烘焙到周围的物体上，但反之则不行。 改善眼睛四处移动时的动画效果。
blends_emission_into_the_diffuse_map_for_engines_without_a_seperate_emission_map,"Blends emission into the diffuse map, for engines without a seperate emission map",,,将排放混合到漫反射贴图中，用于没有单独排放贴图的引擎
cleanup_shapekeys,Cleanup Shapekeys,,,清理 Shapekeys
convert_diffuse_and_metallic_to_premultiplied_diffuse_and_specular_compatible_with_older_engines,Convert Diffuse and Metallic to premultiplied Diffuse and Specular. Compatible with older engines,,,将漫反射和金属转换为预乘漫反射和镜面反射。 与旧引擎兼容
denoise_renders,Denoise renders,,,降噪渲染
denoise_the_resulting_image_after_emitao_reccomended_as_this_will_reduce_the_grainy_quality_of_inexpensive_rendering,Denoise the resulting image after emit/AO. Reccomended as this will reduce the 'grainy' quality of inexpensive rendering..,,,"在发射/AO 之后对生成的图像进行去噪。 推荐，因为这会降低廉价渲染的""颗粒状""质量。"
device_to_bake_on_gpu_gives_a_significant_speedup_but_can_cause_issues_depending_on_your_graphics_drivers,"Device to bake on. GPU gives a significant speedup, but can cause issues depending on your graphics drivers.",,,要烘烤的设备。 GPU 提供了显着的加速，但根据您的图形驱动程序可能会导致问题。
diffuse_emission_overlay,Diffuse Emission Overlay,,,漫反射叠加
exclude_eyes,Exclude eyes,,,排除眼睛
experimental_try_to_keep_uvps_lock_overlapping_enabled,Experimental. Try to keep UVP's lock overlapping enabled,,,实验性的。 尝试保持启用 UVP 的锁定重叠
export_format,Export format,,,导出格式
for_source_engine_only_provides_diffuse_lighting_reflections_for_nonmetallic_objects,For Source engine only. Provides diffuse lighting reflections for nonmetallic objects.,,,仅适用于 Source 引擎。 为非金属物体提供漫反射照明。
generate_an_additional_lod_used_for_simplified_physics_interactions,Generate an additional LOD used for simplified physics interactions,,,生成用于简化物理交互的附加 LOD
generate_courser_decimation_levels_for_efficient_rendering,Generate courser decimation levels for efficient rendering.,,,生成更粗的抽取级别以实现高效渲染。
generate_lods,Generate LODs,,,生成 LOD
generate_physics_model,Generate Physics Model,,,生成物理模型
generate_the_twistbones_on_the_upper_half_of_the_bone_usually_used_for_upper_legs,Generate the twistbones on the upper half of the bone. Usually used for upper legs.,,,在骨骼的上半部分生成扭曲骨骼。 通常用于大腿。
generate_upperhalf,Generate Upperhalf,,,生成上半部分
gmod_model_name,Gmod Model Name,,,Gmod 模型名称
ignore_currently_hidden_objects_when_copying,Ignore currently hidden objects when copying,,,复制时忽略当前隐藏的对象
ignore_hidden_objects,Ignore hidden objects,,,忽略隐藏的对象
image_export_format,Image export format,,,图像导出格式
image_type_to_use_when_exporting,image type to use when exporting,,,导出时使用的图像类型
invert_green_channel,Invert green channel,,,反转绿色通道
keep_merged_bones,Keep Merged Bones,,,保留合并的骨骼
keep_overlapping_islands_uvp,Keep Overlapping Islands (UVP),,,保持重叠岛屿 (UVP)
lod_generation_levels_as_a_percent_of_the_max_tris,"LOD generation levels, as a percent of the max tris",,,LOD 生成级别，作为最大 tris 的百分比
lods,LODs,,,
max_bones_per_prop,Max Bones Per Prop,,,每个道具的最大骨骼数
maximum_bones_a_prop_can_be_attached_to_to_be_considered_a_prop_more_will_create_more_toggleable_props_but_increase_armature_complexity,"Maximum bones a prop can be attached to to be considered a prop. More will create more toggleable props, but increase armature complexity.",,,道具可以附加到的最大骨骼被视为道具。 更多将创建更多可切换的道具，但会增加骨架复杂性。
merge_any_bone_with_twist_in_the_name_useful_as_quest_does_not_support_constraints,Merge any bone with 'Twist' in the name. Useful as Quest does not support constraints.,,,"合并名称中带有""Twist""的任何骨骼。 有用，因为 Quest 不支持约束。"
merge_twist_bones,Merge Twist Bones,,,合并扭曲骨骼
merge_visible_meshes_only,Merge Visible Meshes Only,,,仅合并可见网格
merges_smoothness_into_the_specular_map_for_engines_without_a_seperate_smoothness_map,"Merges smoothness into the specular map, for engines without a seperate smoothness map",,,将平滑度合并到高光贴图中，用于没有单独平滑度贴图的引擎
model_format_to_use_when_exporting,Model format to use when exporting,,,导出时使用的模型格式
name,Name,,,
normal_alpha_pack,Normal Alpha Pack,,,普通 Alpha 包
optimize_solid_materials,Optimize Solid Materials,,,优化固体材料
optimize_static_shapekeys,Optimize Static Shapekeys,,,优化静态 Shapekeys
optimizes_solid_materials_by_making_a_small_area_for_them_ao_pass_will_nullify,Optimizes solid materials by making a small area for them. AO pass will nullify,,,通过为固体材料制作小面积来优化固体材料。 AO 通行证将失效
pack_ambient_occlusion_to_the_green_channel_saves_a_texture_as_unity_uses_g_for_ao_r_for_metallic,"Pack Ambient Occlusion to the Green channel. Saves a texture as Unity uses G for AO, R for Metallic.",,,将 Ambient Occlusion 打包到绿色通道。 保存纹理，因为 Unity 使用 G 表示 AO，R 表示金属。
pack_ao_to_metallic_green,Pack AO to Metallic Green,,,将 AO 包装成金属绿
phong_setup_source,Phong Setup (Source),,,
physmodel_percent,Physmodel Percent,,,
premultiply_diffuse_w_ao,Premultiply Diffuse w/ AO,,,
premultiply_smoothness_w_ao,Premultiply Smoothness w/ AO,,,
prop_bones_max_influence_count,Prop bones Max Influence Count,,,
prop_bones_max_influence_count,Prop bones Max Influence Count,,,
rebake_to_vertex_colors_after_initial_bake_avoids_an_entire_extra_texture_if_your_colors_are_simple_enough_incorperates_ao,"Rebake to vertex colors after initial bake. Avoids an entire extra texture, if your colors are simple enough. Incorperates AO.",,,初始烘焙后重新烘焙到顶点颜色。 如果您的颜色足够简单，可以避免整个额外的纹理。 包含AO。
remove_backup_shapekeys_in_the_final_result_eg_key__reverted_or_blinkold,"Remove backup shapekeys in the final result, e.g. 'Key1 - Reverted' or 'blink_old'",,,在最终结果中删除备份 shapekey，例如 'Key1 - Reverted' 或 'blink_old'
select_this_to_keep_the_bones_after_merging_them_to_their_parents_or_to_the_active_bone,Select this to keep the bones after merging them to their parents or to the active bone,,,选择此项以在将骨骼合并到其父级或活动骨骼后保留骨骼
select_this_to_only_merge_the_weights_of_the_visible_meshes,Select this to only merge the weights of the visible meshes,,,选择此项仅合并可见网格的权重
seperate_vertices_unaffected_by_shape_keys_into_their_own_mesh_this_adds_a_drawcall_but_comes_with_a_significant_gpu_cost_savings_especially_on_mobile,"Seperate vertices unaffected by shape keys into their own mesh. This adds a drawcall, but comes with a significant GPU cost savings, especially on mobile.",,,将不受形状键影响的顶点分离到它们自己的网格中。 这增加了一次绘图调用，但显着节省了 GPU 成本，尤其是在移动设备上。
sharpen_bakes,Sharpen bakes,,,
sharpen_resampled_images_after_baking_diffusesmoothnessmetallic_reccomended_as_any_sampling_will_cause_blur,Sharpen resampled images after baking diffuse/smoothness/metallic. Reccomended as any sampling will cause blur.,,,烘焙漫反射/平滑/金属后锐化重新采样的图像。 推荐，因为任何采样都会导致模糊。
show_advanced_general_options,Show Advanced General Options,,,显示高级常规选项
show_advanced_platform_options,Show Advanced Platform Options,,,显示高级平台选项
source_engine_uses_an_inverse_green_channel_this_fixes_that_on_export,"Source engine uses an inverse green channel, this fixes that on export",,,源引擎使用反向绿色通道，这修复了导出时的问题
specular_alpha_channel,Specular Alpha Channel,,,
specular_setup,Specular Setup,,,
specular_smoothness_overlay,Specular Smoothness Overlay,,,
steam_library,Steam Library,,,
target_another_bone_naming_standard_when_exporting_requires_standard_bone_names,Target another bone naming standard when exporting. Requires standard bone names,,,导出时以另一个骨骼命名标准为目标。 需要标准骨骼名称
the_angle_reproject_uses_when_unwrapping_larger_angles_yield_less_islands_but_more_stretching_and_smaller_does_opposite,The angle Reproject uses when unwrapping. Larger angles yield less islands but more stretching and smaller does opposite,,,展开时 Reproject 使用的角度。 更大的角度产生更少的岛屿，但更多的拉伸和更小的相反
this_option_will_detect_any_meshes_weighted_to_a_single_bone_and_create_a_prop_bone_you_can_independently_scale_to_,This option will detect any meshes weighted to a single bone and create a 'prop' bone you can independently scale to 0.,,,"此选项将检测任何加权到单个骨骼的网格并创建一个可以独立缩放到 0 的""道具""骨骼。"
translate_bone_names,Translate bone names,,,
unwrap_angle,Unwrap Angle,,,
what_to_pack_to_the_alpha_channel_of_specularity,What to pack to the Alpha channel of Specularity,,,将什么打包到 Specularity 的 Alpha 通道
when_selected_currently_active_shape_keys_will_be_applied_to_the_basis_this_is_extremely_beneficial_to_performance_if_your_avatar_is_intended_to_default_to_one_shapekey_mix_as_having_active_shapekeys_all_the_time_is_expensive_keys_ending_in_bake_are_always_applied_to_the_basis_and_removed_completely_regardless_of_this_option,"When selected, currently active shape keys will be applied to the basis. This is extremely beneficial to performance if your avatar is intended to 'default' to one shapekey",,,"选中后，当前活动的形状键将应用于基础。 如果您的头像打算""默认""为一个 shapekey，这对性能非常有利"
mix," as having active shapekeys all the time is expensive. Keys ending in '_bake' are always applied to the basis and removed completely, regardless of this option.",,,"因为一直有活动的 shapekey 是很昂贵的。 无论此选项如何，以""_bake""结尾的键始终应用于基础并完全删除。"
while_not_technically_accurate_this_avoids_the_shine_effect_on_obscured_portions_of_your_model,"While not technically accurate, this avoids the 'shine effect' on obscured portions of your model",,,"虽然技术上不准确，但这避免了模型模糊部分的""光泽效应"""
will_show_extra_options_related_to_applicable_bones_and_texture_packing_setups,Will show extra options related to applicable bones and texture packing setups.,,,将显示与适用的骨骼和纹理打包设置相关的额外选项。
will_show_extra_options_related_to_which_bake_passes_are_performed_and_how,Will show extra options related to which bake passes are performed and how.,,,将显示与执行哪些烘焙通道以及如何执行相关的额外选项。
